order_id,order_date,store_id,store_region,product_sku,product_category,product_name,quantity,unit_price,discount_pct,channel,updated_at
ORD-00121803,2023-03-10,135,Northeast,SKU-00021,  Plumbing,  Pipe Wrench 14 in.  ,7.0,26.36,20.0,In-Store,2023-03-25
ORD-00119263,2023-02-10,100,South East,SKU-00032,FLOORING ,Laminate Plank (per case),9.0,41.63,16.0,ONLINE,2023-03-03
ORD-00104629,2024-03-22,104,midwest,SKU-00027,Paint ,Interior Latex Paint 1 gal.  ,12.0,37.82,25.0,IN-STORE,2024-04-07
ORD-00124936,2024-07-15,104,southeast,SKU-00025,Electrical,LED A19 BULB (4-PK),11.0,10.58,2.0,in store,2024-07-20
ORD-00139715,2024-04-26,117,SE,SKU-00023,Electrical, Duplex Outlet (10-pk)  ,5.0,9.06,27.0,pro desk,2024-04-27
ORD-00104299,2024-11-11,125,Southwest,SKU-00009,Hand Tools,  adjustable wrench 10 in. ,6.0,12.38,23.0,IN-STORE,2024-12-05
ORD-00115019,2023-04-19,130,Southeast,SKU-00042,Garden,Hardwood Mulch 2 cu. ft.,1.0,4.24,10.0,web,2023-05-16
ORD-00144717,2023-03-10,105,southeast,SKU-00017,Plumbing  ,1/2 in. PVC Pipe 10 ft.,5.0,5.15,2.0,Pro-Desk,2023-04-07
ORD-00122254,2023-04-23,106,North East,SKU-00038,hardware  ,  Cabinet Hinges (10-pk)  ,4.0,15.03,22.0,ONLINE,2023-04-24
ORD-00141588,2023-07-17,131,Southeast,SKU-00005, POWER TOOLS, Compact Reciprocating Saw,9.0,130.78,2.0,web,2023-07-24
ORD-00109278,2024-02-03,104,W,SKU-00044,Garden,  Bypass Pruning Shears ,5.0,18.15,10.0,instore,2024-02-06
ORD-00119950,2023-04-19,134,Southeast,SKU-00022,Electrical  ,12/2 Romex 50 ft.,12.0,60.98,28.0,in_store,2023-04-26
ORD-00108311,2024-05-07,113,midwest,SKU-00035,Flooring,foam underlayment roll,4.0,20.49,4.0,in_store,2024-05-13
ORD-00117965,2024-01-24,130,midwest,SKU-00034, Flooring  ,Luxury Vinyl Plank (per case),4.0,63.15,25.0,in store,2024-01-26
ORD-00115631,2024-07-16,149,South East,SKU-00021,  Plumbing,Pipe Wrench 14 in.,8.0,27.46,25.0,in store,2024-08-12
,2024-12-02,107, southeast ,SKU-00005, Power Tools,Compact Reciprocating Saw,8.0,114.66,1.0,in_store,2024-12-16
ORD-00140239,2024-02-10,108,MW,SKU-00012,Lumber, 2x4x8 Prime Stud ,11.0,4.33,12.0,In-Store,2024-02-28
ORD-00106085,2023-07-22,100,SE,SKU-00047,Appliances ,52 in. Ceiling Fan,1.0,127.44,12.0,instore,2023-08-16
,2023-01-11,106,northeast,SKU-00035, Flooring ,Foam Underlayment Roll,12.0,26.23,1.0,online,2023-02-09
ORD-00114460,2023-02-24,116,West,SKU-00009,  Hand Tools  ,Adjustable Wrench 10 in.,1.0,12.99,19.0,in store,2023-03-04
ORD-00107561,2023-05-15,141,SE,SKU-00034,Flooring, Luxury Vinyl Plank (per case),8.0,51.46,0.0,,2023-05-17
ORD-00128124,2024-03-23,124,SE,SKU-00039,Hardware,  Drywall Anchors (50-ct)  ,6.0,7.88,21.0,pro_desk,2024-03-31
ORD-00144617,2023-12-05,141,Southeast,SKU-00046,Appliances,40 gal. Electric Water Heater,2.0,413.34,29.0,,2024-01-03
ORD-00122362,2023-06-23,109,SE,SKU-00031,Paint,Angled Brush Set (3-pc),3.0,15.04,25.0,ONLINE,2023-07-08
ORD-00142347,2024-01-27,133,Mid West,SKU-00007,Hand Tools,25 ft. Tape Measure,8.0,20.91,0.0,Pro-Desk,2024-02-07
ORD-00120125,2024-09-17,112,MW,SKU-00003,Power Tools  ,  4-1/2 in. angle grinder ,3.0,63.68,0.0,online,2024-09-21
ORD-00108341,2023-04-01,125,west,SKU-00031, Paint ,ANGLED BRUSH SET (3-PC) ,3.0,11.88,16.0,Pro-Desk,2023-04-06
ORD-00143102,2023-12-25,142,Mid West,SKU-00021,  PLUMBING ,Pipe Wrench 14 in.,6.0,28.69,2.0,IN-STORE,2024-01-22
ORD-00141648,2024-01-08,141,northeast,SKU-00009,Hand Tools ,Adjustable Wrench 10 in.,5.0,13.05,0.0,IN-STORE,2024-01-09
ORD-00119991,2024-10-23,116,MW,SKU-00041,Garden ,Potting Soil 2 cu. ft.,11.0,12.57,4.0,instore,2024-11-20
ORD-00131479,2024-05-22,110,MW,SKU-00007,Hand Tools, 25 ft. Tape Measure ,11.0,21.67,20.0,IN-STORE,2024-06-05
ORD-00113920,2024-06-20,121,South West,SKU-00024,Electrical,Single-Pole Breaker 20A,3.0,7.08,20.0,Online,2024-06-25
ORD-00122342,2024-06-03,128,NE,SKU-00006, HAND TOOLS,16 oz. Claw Hammer,11.0,15.03,27.0,in store,2024-06-09
ORD-00135818,2024-05-04,136,Mid West,SKU-00043,GARDEN,50 ft. Garden Hose,3.0,27.39,21.0,in_store,2024-05-21
ORD-00141195,2023-08-11,111,South East,SKU-00014, LUMBER, 7/16 IN. OSB BOARD  ,8.0,21.88,21.0,ONLINE,2023-08-12
ORD-00111735,2024-12-25,102,SE,SKU-00041,Garden, potting soil 2 cu. ft.  ,3.0,,16.0,in_store,2025-01-19
ORD-00107909,2024-06-29,126,West,SKU-00023,Electrical,  Duplex Outlet (10-pk)  ,10.0,8.8,24.0,in_store,2024-07-25
ORD-00132357,2024-07-04,112,west,SKU-00032,Flooring,LAMINATE PLANK (PER CASE) ,5.0,47.68,25.0,IN-STORE,2024-07-07
ORD-00142776,2023-08-29,115,midwest,SKU-00003,Power Tools,4-1/2 IN. ANGLE GRINDER,5.0,54.21,,Online,2023-09-16
ORD-00109281,2024-04-19,111,West,SKU-00021,Plumbing  ,  Pipe Wrench 14 in.,1.0,27.83,1.0,instore,2024-05-01
ORD-00141186,2024-06-12,107,Northeast,SKU-00041,Garden,Potting Soil 2 cu. ft.,11.0,11.55,16.0,IN-STORE,2024-06-26
ORD-00106876,2024-07-11,138,South East,SKU-00024, ELECTRICAL,Single-Pole Breaker 20A,11.0,6.97,2.0,IN-STORE,2024-08-06
ORD-00100692,2024-12-20,138,SE,SKU-00014,Lumber,7/16 in. OSB Board,5.0,23.3,4.0,instore,2025-01-11
ORD-00125375,2023-08-19,127,west,SKU-00005,Power Tools,Compact Reciprocating Saw,11.0,120.67,,instore,2023-08-24
ORD-00131475,2023-11-24,146,Midwest,SKU-00043,Garden,50 ft. Garden Hose,6.0,28.12,1.0,IN-STORE,2023-12-03
ORD-00126103,2023-08-23,118,West,SKU-00006,Hand Tools,  16 OZ. CLAW HAMMER ,4.0,16.4,2.0,web,2023-09-10
ORD-00107509,2024-05-01,105,,SKU-00011,hand tools  ,  locking pliers 7 in.,10.0,11.64,25.0,Pro Desk,2024-05-30
ORD-00133562,2024-05-19,142,Southeast,SKU-00045,Garden,All-Purpose Fertilizer 25 lb.,12.0,21.31,12.0,in store,2024-05-21
ORD-00126832,2023-05-15,133,SE,SKU-00000,Power Tools,20V Cordless Drill/Driver,5.0,101.24,1.0,in store,2023-05-19
ORD-00124208,2023-08-29,117,Northeast,SKU-00014,  LUMBER ,7/16 in. OSB Board,4.0,23.59,27.0,in store,2023-09-19
ORD-00116625,2024-08-11,144,W,SKU-00048,Appliances,30 in. Range Hood,11.0,77.17,8.0,pro desk,2024-08-16
ORD-00118824,2024-09-04,114,SE,SKU-00038,HARDWARE  ,cabinet hinges (10-pk) ,12.0,20.09,0.0,web,2024-09-13
ORD-00133265,2023-10-10,114,SE,SKU-00016,Lumber  ,Pressure-Treated 4x4x8,3.0,12.07,3.0,web,2023-10-23
ORD-00100463,2024-05-29,136, southeast ,SKU-00018,  PLUMBING,Brass Ball Valve 3/4 in.,6.0,13.59,25.0,In-Store,2024-06-09
ORD-00135822,2023-10-03,127,MW,SKU-00043,  garden,50 ft. Garden Hose,3.0,29.02,27.0,instore,2023-10-16
ORD-00120855,2024-01-29,113,W,SKU-00023,Electrical,Duplex Outlet (10-pk),5.0,8.26,1.0,instore,2024-02-06
ORD-00142711,2023-12-15,134,northeast,SKU-00033,Flooring,  ceramic tile 12x12 (per box) ,,25.8,,web,2023-12-21
ORD-00126583,2024-11-12,101,NE,SKU-00035,Flooring,Foam Underlayment Roll,9.0,27.79,,in store,2024-11-28
ORD-00142947,2024-02-07,136,South East,SKU-00046,Appliances,  40 gal. Electric Water Heater,7.0,479.55,12.0,instore,2024-02-27
ORD-00121749,2024-04-13,109,Southeast,SKU-00019,Plumbing,Single-Handle Kitchen Faucet,2.0,91.02,17.0,instore,2024-04-26
ORD-00129423,2024-06-06,146,MW,SKU-00036, hardware ,Deck Screws 5 lb.,6.0,32.54,2.0,ONLINE,2024-07-02
ORD-00119282,2024-06-21,119,Mid West,SKU-00004, Power Tools,Random Orbital Sander,6.0,67.99,25.0,in_store,2024-06-21
ORD-00111886,2024-04-02,125,South East,SKU-00017,Plumbing,1/2 in. PVC Pipe 10 ft.,10.0,5.2,18.0,prodesk,2024-04-23
ORD-00124549,2023-02-28,149,Northeast,SKU-00016,Lumber,  PRESSURE-TREATED 4X4X8  ,9.0,13.47,18.0,online,2023-03-08
ORD-00128630,2024-06-13,113,Southeast,SKU-00022,Electrical,12/2 Romex 50 ft.,2.0,64.2,3.0,In-Store,2024-06-16
ORD-00126954,2023-06-20,135,northeast,SKU-00031,Paint,Angled Brush Set (3-pc),4.0,12.72,18.0,online,2023-06-24
ORD-00126962,2023-12-13,135,South East,SKU-00035, Flooring  ,Foam Underlayment Roll  ,1.0,23.67,26.0,in store,2024-01-04
ORD-00110515,2023-05-29,100,South East,SKU-00039, HARDWARE,Drywall Anchors (50-ct),8.0,8.35,5.0,In-Store,2023-06-14
ORD-00120555,2024-08-17,142,West,SKU-00037,Hardware,Wood Glue 16 oz.,5.0,7.25,11.0,In-Store,2024-09-11
ORD-00132321,2024-09-05,128,North East,SKU-00014,Lumber,  7/16 in. OSB Board ,6.0,22.63,17.0,in_store,2024-09-13
ORD-00108549,2023-09-08,121,South West,SKU-00012,lumber,  2x4x8 Prime Stud ,1.0,4.59,27.0,instore,2023-10-05
ORD-00107592,2024-12-13,117,NE,SKU-00031,Paint,Angled Brush Set (3-pc),1.0,12.8,4.0,instore,2024-12-31
ORD-00123132,2024-04-01,134,West,SKU-00014,lumber ,7/16 in. OSB Board,9.0,20.7,24.0,In-Store,2024-04-25
ORD-00127410,2024-01-30,101,Midwest,SKU-00008,  HAND TOOLS  ,Screwdriver Set (10-pc),6.0,24.81,8.0,in_store,2024-02-15
ORD-00103203,2024-02-20,120,NE,SKU-00009, Hand Tools  ,Adjustable Wrench 10 in.,9.0,12.76,1.0,Online,2024-03-02
ORD-00127898,2024-12-27,147,northeast,SKU-00041,GARDEN  ,Potting Soil 2 cu. ft.  ,7.0,15.63,28.0,Online,2025-02-03
ORD-00104168,2023-11-17,111,northeast,SKU-00034,  Flooring, Luxury Vinyl Plank (per case),2.0,,10.0,pro_desk,2023-11-25
ORD-00130523,2023-12-31,115,NE,SKU-00004,POWER TOOLS  ,  RANDOM ORBITAL SANDER,5.0,68.77,0.0,pro desk,2024-01-25
ORD-00136590,2023-06-08,127,southeast,SKU-00035,  Flooring  ,  FOAM UNDERLAYMENT ROLL  ,3.0,27.41,9.0,web,2023-06-15
ORD-00110219,2024-06-04,112,,SKU-00032,Flooring,Laminate Plank (per case),8.0,43.17,22.0,in store,2024-06-26
ORD-00109119,2024-08-06,131,northeast,SKU-00021,Plumbing,PIPE WRENCH 14 IN.,1.0,27.04,19.0,IN-STORE,2024-09-01
ORD-00144355,2023-10-15,106,Mid West,SKU-00031,Paint,Angled Brush Set (3-pc),12.0,14.07,25.0,IN-STORE,2023-10-23
ORD-00124799,2023-08-17,142,South West,SKU-00041,Garden,Potting Soil 2 cu. ft.  ,10.0,13.45,8.0,in_store,2023-09-12
ORD-00110726,2024-07-13,136,North East,SKU-00047,APPLIANCES ,  52 in. ceiling fan ,11.0,107.5,3.0,In-Store,2024-07-22
ORD-00116694,2024-02-17,149,midwest,SKU-00029,Paint, 9 IN. ROLLER KIT  ,12.0,13.98,18.0,in store,2024-02-23
ORD-00104145,2024-12-21,146,west,SKU-00017,  plumbing ,1/2 in. PVC Pipe 10 ft.,,5.81,2.0,instore,2024-12-24
ORD-00100505,2023-06-26,103,W,SKU-00023,  Electrical,Duplex Outlet (10-pk),12.0,9.61,1.0,IN-STORE,2023-07-05
ORD-00142186,2023-01-13,102,Southeast,SKU-00023,Electrical,Duplex Outlet (10-pk),9.0,9.62,1.0,in store,2023-01-29
ORD-00101589,2023-11-16,143, southeast ,SKU-00014,Lumber,7/16 in. OSB Board,8.0,22.13,6.0,In-Store,2023-12-04
ORD-00142844,2024-02-27,135,Midwest,SKU-00004,Power Tools,Random Orbital Sander,3.0,69.3,7.0,In-Store,2024-03-02
ORD-00110869,2023-05-27,140,Northeast,SKU-00038,Hardware,Cabinet Hinges (10-pk),11.0,17.49,24.0,Pro-Desk,2023-06-05
ORD-00144262,2023-11-20,137,West,SKU-00021,Plumbing,Pipe Wrench 14 in.,,28.53,11.0,Online,2023-11-21
ORD-00109772,2024-03-08,116,SE,SKU-00026,Electrical, WIRE CONNECTORS (100-CT),3.0,,15.0,online,2024-03-09
ORD-00142831,2023-08-05,121,southwest,SKU-00021,Plumbing,PIPE WRENCH 14 IN. ,4.0,30.52,3.0,web,2023-08-28
ORD-00126530,2024-10-01,110,Southeast,SKU-00014,lumber, 7/16 IN. OSB BOARD ,12.0,20.54,7.0,In-Store,2024-10-22
ORD-00127787,2023-08-09,116,northeast,SKU-00005,POWER TOOLS ,  Compact Reciprocating Saw ,2.0,112.05,21.0,ONLINE,2023-08-10
ORD-00128280,2023-11-23,114,Northeast,SKU-00039, Hardware ,  Drywall Anchors (50-ct),8.0,7.24,25.0,Online,2023-12-10
ORD-00124917,2023-06-25,121,W,SKU-00038,  Hardware ,Cabinet Hinges (10-pk),8.0,19.7,11.0,instore,2023-06-28
ORD-00128913,2023-03-29,124,southwest,SKU-00002,Power Tools,Impact Driver Kit,10.0,131.06,4.0,instore,2023-04-15
ORD-00125716,2024-11-21,139,Mid West,SKU-00031,Paint,Angled Brush Set (3-pc),10.0,12.69,0.0,in store,2024-12-03
ORD-00110201,2023-01-13,147,west,SKU-00008,HAND TOOLS,SCREWDRIVER SET (10-PC)  ,3.0,25.24,4.0,web,2023-01-27
ORD-00143588,2024-06-10,139,West,SKU-00030, paint  ,Painter's Tape 1.88 in.,10.0,7.22,0.0,in_store,2024-06-11
ORD-00130821,2023-03-21,131,W,SKU-00008,Hand Tools,Screwdriver Set (10-pc),5.0,,11.0,pro desk,2023-03-23
ORD-00119545,2024-11-11,139,Southwest,SKU-00002,Power Tools ,  IMPACT DRIVER KIT  ,5.0,167.1,3.0,instore,2024-11-25
ORD-00132205,2024-11-25,101,NE,SKU-00012,Lumber,2x4x8 Prime Stud,4.0,,17.0,Pro Desk,2024-12-09
ORD-00130565,2023-12-03,145,North East,SKU-00047,Appliances,52 in. Ceiling Fan,5.0,123.99,3.0,in store,2023-12-15
ORD-00105834,2023-11-01,127,South West,SKU-00042,Garden, HARDWOOD MULCH 2 CU. FT.  ,10.0,4.33,29.0,instore,2023-11-17
ORD-00117718,2023-06-17,134,Northeast,SKU-00034,  flooring  ,LUXURY VINYL PLANK (PER CASE) ,1.0,60.62,1.0,Online,2023-07-14
ORD-00131356,2024-01-04,126,West,SKU-00005, Power Tools ,Compact Reciprocating Saw,8.0,117.4,3.0,In-Store,2024-01-06
ORD-00114802,2023-12-22,145,Mid West,SKU-00002,Power Tools, Impact Driver Kit ,8.0,146.44,23.0,In-Store,2024-01-20
ORD-00118458,2024-01-13,144, southeast ,SKU-00004,Power Tools,Random Orbital Sander,11.0,73.88,1.0,web,2024-01-17
ORD-00117219,2024-12-26,141,Mid West,SKU-00010,Hand Tools,  UTILITY KNIFE ,1.0,9.23,6.0,IN-STORE,2025-01-10
ORD-00134880,2023-08-06,149,North East,SKU-00010,Hand Tools  , Utility Knife ,11.0,8.16,3.0,IN-STORE,2023-08-18
ORD-00100328,2024-01-30,107,Southeast,SKU-00009,Hand Tools,  ADJUSTABLE WRENCH 10 IN.,4.0,12.42,29.0,ONLINE,2024-01-31
ORD-00112529,2023-02-26,123,NE,SKU-00015,Lumber,1x6 Cedar Board,10.0,10.9,21.0,in_store,2023-03-10
ORD-00130924,2024-12-06,105,,SKU-00017,Plumbing , 1/2 in. pvc pipe 10 ft.  ,7.0,5.42,3.0,web,2024-12-18
ORD-00108881,2024-09-10,112,South East,SKU-00035,Flooring, Foam Underlayment Roll ,5.0,26.29,3.0,Pro Desk,2024-09-12
ORD-00117238,2023-04-03,129,west,SKU-00001,POWER TOOLS  , 7-1/4 in. Circular Saw ,12.0,123.45,8.0,instore,2023-05-02
ORD-00113096,2023-12-12,106,midwest,SKU-00029, Paint  ,9 in. Roller Kit ,2.0,16.22,11.0,in store,2024-01-05
ORD-00118141,2023-11-03,136,W,SKU-00004,Power Tools, Random Orbital Sander ,11.0,60.81,8.0,IN-STORE,2023-11-23
ORD-00102631,2024-04-15,124,W,SKU-00021, plumbing,  PIPE WRENCH 14 IN. ,8.0,29.68,3.0,,2024-04-18
ORD-00143168,2023-03-23,117,Southeast,SKU-00020,Plumbing, p-trap kit,2.0,7.29,4.0,ONLINE,2023-04-07
ORD-00125287,2023-01-07,101,Northeast,SKU-00044,Garden,Bypass Pruning Shears,5.0,16.95,2.0,in_store,2023-01-17
ORD-00128392,2024-07-10,137,W,SKU-00038,Hardware,Cabinet Hinges (10-pk),2.0,19.05,0.0,In-Store,2024-07-14
ORD-00101912,2024-10-31,142,,SKU-00009,HAND TOOLS,Adjustable Wrench 10 in.,1.0,12.18,0.0,In-Store,2024-11-02
ORD-00114644,2023-12-14,133,Southeast,SKU-00042,Garden,Hardwood Mulch 2 cu. ft.,7.0,4.91,2.0,Online,2024-01-07
ORD-00127055,2024-01-28,111,Southeast,SKU-00019,Plumbing, SINGLE-HANDLE KITCHEN FAUCET,9.0,89.9,26.0,IN-STORE,2024-02-05
ORD-00113763,2024-08-27,121,southwest,SKU-00002,Power Tools, IMPACT DRIVER KIT ,10.0,147.6,20.0,in_store,2024-09-07
ORD-00102903,2024-12-12,115,Northeast,SKU-00020,PLUMBING,P-Trap Kit,9.0,6.97,14.0,in store,2024-12-26
ORD-00123583,2023-10-01,104,southeast,SKU-00049,Appliances,1.6 cu. ft. Microwave,9.0,125.06,3.0,prodesk,2023-10-23
ORD-00114900,2023-06-10,102,Midwest,SKU-00007,  Hand Tools,25 ft. Tape Measure,2.0,20.33,,IN-STORE,2023-06-22
ORD-00121523,2024-03-14,133,NE,SKU-00027,Paint  ,Interior Latex Paint 1 gal.,10.0,99999.0,,ONLINE,2024-03-16
ORD-00130393,2024-06-06,131,southeast,SKU-00003,Power Tools,4-1/2 in. Angle Grinder,12.0,63.63,22.0,IN-STORE,2024-06-19
ORD-00112899,2023-09-01,106,Mid West,SKU-00001,  POWER TOOLS  ,7-1/4 in. Circular Saw,8.0,129.4,6.0,prodesk,2023-09-12
ORD-00100744,2024-08-11,122,SE,SKU-00031, Paint, ANGLED BRUSH SET (3-PC),12.0,12.88,28.0,pro desk,2024-08-21
ORD-00136591,2023-07-12,132, southeast ,SKU-00037,Hardware  ,Wood Glue 16 oz.,12.0,7.27,11.0,IN-STORE,2023-07-29
ORD-00116479,2023-04-12,112,West,SKU-00008,  Hand Tools,  Screwdriver Set (10-pc)  ,12.0,24.23,2.0,in_store,2023-05-14
ORD-00115765,2024-11-02,113,South East,SKU-00028,Paint,  Bonding Primer 1 gal. ,7.0,23.97,24.0,ONLINE,2024-11-24
ORD-00103472,2024-01-09,147,West,SKU-00009,Hand Tools,  Adjustable Wrench 10 in.  ,10.0,11.91,26.0,prodesk,2024-02-05
ORD-00125571,2023-03-11,124,MW,SKU-00022,Electrical,12/2 ROMEX 50 FT. ,,60.86,17.0,instore,2023-03-15
ORD-00141094,2024-02-04,129,MW,SKU-00010,  Hand Tools ,Utility Knife,7.0,8.22,15.0,in store,2024-02-11
ORD-00144776,2024-08-10,100,northeast,SKU-00014, Lumber,7/16 in. OSB Board ,1.0,20.69,6.0,Online,2024-08-29
ORD-00115968,2024-01-15,128,midwest,SKU-00033,  flooring  ,Ceramic Tile 12x12 (per box),5.0,30.13,1.0,pro_desk,2024-02-11
ORD-00100285,2024-07-06,135,southeast,SKU-00043,Garden ,50 ft. Garden Hose,7.0,34.33,3.0,online,2024-07-28
ORD-00121178,2023-09-13,137,South West,SKU-00003, Power Tools  ,4-1/2 in. Angle Grinder,5.0,61.88,0.0,In-Store,2023-10-05
ORD-00105697,2023-08-05,109,,SKU-00024,  Electrical ,Single-Pole Breaker 20A,12.0,7.26,3.0,pro_desk,2023-08-25
ORD-00120128,2023-06-04,100,Mid West,SKU-00014,Lumber,7/16 in. OSB Board,12.0,22.68,28.0,instore,2023-06-13
ORD-00142180,2023-12-29,115,,SKU-00011,  HAND TOOLS , Locking Pliers 7 in.  ,1.0,13.04,18.0,In-Store,2024-01-24
ORD-00128894,2024-04-07,118,Northeast,SKU-00005,Power Tools, Compact Reciprocating Saw ,4.0,128.68,9.0,,2024-05-03
ORD-00137290,2024-04-07,123,midwest,SKU-00022,  Electrical  ,12/2 Romex 50 ft.,12.0,63.36,1.0,in_store,2024-04-11
ORD-00124817,2024-11-29,148,midwest,SKU-00035, Flooring , Foam Underlayment Roll ,10.0,26.16,14.0,IN-STORE,2024-12-11
,2023-08-01,116,Southeast,SKU-00005, Power Tools  ,Compact Reciprocating Saw,4.0,95.69,3.0,in_store,2023-08-05
ORD-00126757,2023-11-06,100, southeast ,SKU-00040,Hardware,  CABINET KNOBS (10-PK),6.0,17.72,,IN-STORE,2023-11-27
ORD-00114468,2023-07-15,112,W,SKU-00037,  Hardware ,Wood Glue 16 oz. ,5.0,7.34,14.0,instore,2023-08-01
ORD-00123434,2023-04-16,139,southeast,SKU-00022, Electrical  , 12/2 Romex 50 ft.  ,5.0,57.62,19.0,Pro Desk,2023-05-09
ORD-00139397,2023-08-01,137,,SKU-00045, GARDEN ,All-Purpose Fertilizer 25 lb.,5.0,23.35,1.0,pro_desk,2023-08-01
ORD-00138900,2023-11-17,110,Southeast,SKU-00046,Appliances,40 gal. Electric Water Heater,12.0,423.06,21.0,Online,2023-11-17
ORD-00116421,2023-03-01,121,northeast,SKU-00039,  hardware,Drywall Anchors (50-ct),,6.57,23.0,in store,2023-03-24
ORD-00109023,2024-08-14,102,northeast,SKU-00009, Hand Tools  ,  Adjustable Wrench 10 in. ,3.0,13.66,22.0,Online,2024-09-09
ORD-00139009,2024-04-17,106,Northeast,SKU-00024,Electrical,Single-Pole Breaker 20A,4.0,7.7,0.0,ONLINE,2024-05-09
ORD-00143742,2024-11-24,113,W,SKU-00003,Power Tools,  4-1/2 in. angle grinder,11.0,60.5,5.0,In-Store,2024-12-09
ORD-00105945,2023-01-15,140,Southeast,SKU-00021,  Plumbing  ,Pipe Wrench 14 in.,2.0,27.49,15.0,IN-STORE,2023-02-09
ORD-00112252,2024-01-23,103,W,SKU-00006,Hand Tools,  16 oz. claw hammer,10.0,14.16,13.0,In-Store,2024-01-26
ORD-00101938,2023-12-17,139,,SKU-00012,lumber,2x4x8 Prime Stud,4.0,4.72,19.0,In-Store,2024-01-14
ORD-00144974,2024-09-14,130,W,SKU-00034,Flooring,Luxury Vinyl Plank (per case),3.0,60.38,8.0,in store,2024-09-15
ORD-00116681,2023-09-03,136,Southeast,SKU-00029,Paint,9 in. Roller Kit,7.0,17.99,,in_store,2023-09-14
ORD-00132430,2024-12-08,101,MW,SKU-00009, HAND TOOLS,adjustable wrench 10 in.  ,12.0,12.71,6.0,ONLINE,2024-12-22
